registros;natureza;municipio;cod_ibge;mes;ano_fato;risp;rmbh
4;FURTO;ABADIA DOS DOURADOS;310010;1;2012;RISP 10 - PATOS DE MINAS;NÃO
38;FURTO;ABAETE;310020;1;2012;RISP 7 - DIVINÓPOLIS;NÃO
2;FURTO;ABRE-CAMPO;310030;1;2012;RISP 12 - IPATINGA;NÃO
2;FURTO;ACAIACA;310040;1;2012;RISP 12 - IPATINGA;NÃO
2;FURTO;ACUCENA;310050;1;2012;RISP 12 - IPATINGA;NÃO
10;FURTO;AGUA BOA;310060;1;2012;RISP 14 - CURVELO;NÃO
0;FURTO;AGUA COMPRIDA;310070;1;2012;RISP 5 - UBERABA;NÃO
4;FURTO;AGUANIL;310080;1;2012;RISP 6 - LAVRAS;NÃO
10;FURTO;AGUAS FORMOSAS;310090;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
4;FURTO;AGUAS VERMELHAS;310100;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
11;FURTO;AIMORES;310110;1;2012;RISP 8 - GOV. VALADARES;NÃO
3;FURTO;AIURUOCA;310120;1;2012;RISP 17 - POUSO ALEGRE;NÃO
0;FURTO;ALAGOA;310130;1;2012;RISP 17 - POUSO ALEGRE;NÃO
2;FURTO;ALBERTINA;310140;1;2012;RISP 17 - POUSO ALEGRE;NÃO
18;FURTO;ALEM PARAIBA;310150;1;2012;RISP 4 - JUIZ DE FORA;NÃO
126;FURTO;ALFENAS;310160;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
4;FURTO;ALFREDO VASCONCELOS;310163;1;2012;RISP 13 - BARBACENA;NÃO
80;FURTO;ALMENARA;310170;1;2012;RISP 15 - TEÓFILO OTONI;NÃO
6;FURTO;ALPERCATA;310180;1;2012;RISP 8 - GOV. VALADARES;NÃO
22;FURTO;ALPINOPOLIS;310190;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
11;FURTO;ALTEROSA;310200;1;2012;RISP 18 - POÇOS DE CALDAS;NÃO
